"Date","Lake","TAG.NUMBER","Species","Length..mm.","Weight..g.","Recap","Tag.Loss","Fin.Clipped","Notes","Gear","Site.Transect","Start.Latitude","Start.Longitude","End.Latitude","End.Longitude","On.Time..s.","Water.Temp..C.","Secchi..cm.","Weather","Year","detect"
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"WHC",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
"2018-09-13","S. Twin",NA,"BLB",NA,NA,NA,NA,NA,"released alive","Fyke","2","","","","",NA,NA,NA,"",2018,1
